Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
SprintzXff -42,42700920,379.18,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2081.85,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.7
SprintzXff -43,42114220,385.27,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2297.13,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.11
SprintzXff -44,42520645,422.72,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2368.0,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.52
SprintzXff -45,42426904,373.67,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2299.67,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.43
SprintzXff -46,42082079,376.5,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2215.7,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.08
SprintzXff -47,42623720,372.64,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2491.52,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.62
SprintzXff -48,42154992,373.75,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2315.89,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.15
SprintzXff -49,42152555,371.72,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2515.01,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.15
SprintzXff -50,42499784,412.35,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2589.23,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.5
SprintzXff -51,42073819,414.02,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2440.35,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.07
SprintzXff -52,42231664,380.12,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2465.06,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.23
SprintzXff -53,42323904,378.81,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2686.97,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.32
SprintzXff -54,41980244,407.06,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2772.94,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.98
SprintzXff -55,42370760,420.48,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2714.4,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.37
SprintzXff -56,42122614,416.82,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2891.42,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.12
SprintzXff -57,41986603,419.8,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2850.37,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.99
SprintzXff -58,42321928,424.33,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2786.39,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,42.32
