Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Simple8B,269608,1356.49,ucr,2193.06,/colmajor/uint8-as-uint32/ucr/Computers.dat,1,0,8,f,1449980,None,18.59
SIMDBP128,59584,3258.03,ucr,3953.26,/colmajor/uint8-as-uint32/ucr/Trace.dat,1,0,8,f,223980,None,26.6
FastPFOR,57436,548.87,ucr,2081.1,/colmajor/uint8-as-uint32/ucr/Trace.dat,1,0,8,f,223980,None,25.64
Simple8B,55332,976.52,ucr,1832.91,/colmajor/uint8-as-uint32/ucr/Trace.dat,1,0,8,f,223980,None,24.7
SIMDBP128,131092,2846.72,ucr,3274.07,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,1,0,8,f,474636,None,27.62
FastPFOR,119380,465.95,ucr,2237.67,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,1,0,8,f,474636,None,25.15
Simple8B,111328,1009.64,ucr,1734.05,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,1,0,8,f,474636,None,23.46
SIMDBP128,254184,3242.36,ucr,3361.99,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,1,0,8,f,903700,None,28.13
FastPFOR,254196,1066.44,ucr,2381.3,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,1,0,8,f,903700,None,28.13
Simple8B,246364,998.68,ucr,2079.36,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,1,0,8,f,903700,None,27.26
SIMDBP128,159056,3699.38,ucr,3820.9,/colmajor/uint8-as-uint32/ucr/Adiac.dat,1,0,8,f,565424,None,28.13
FastPFOR,159040,1069.09,ucr,2742.06,/colmajor/uint8-as-uint32/ucr/Adiac.dat,1,0,8,f,565424,None,28.13
Simple8B,150100,1122.22,ucr,2728.75,/colmajor/uint8-as-uint32/ucr/Adiac.dat,1,0,8,f,565424,None,26.55
SIMDBP128,606436,3383.46,ucr,3978.2,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,1,0,8,f,2296780,None,26.4
FastPFOR,576856,445.91,ucr,1747.18,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,1,0,8,f,2296780,None,25.12
Simple8B,475172,1054.09,ucr,1840.28,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,1,0,8,f,2296780,None,20.69
SIMDBP128,250252,3728.8,ucr,3959.04,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,1,0,8,f,953328,None,26.25
FastPFOR,214680,348.63,ucr,1349.66,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,1,0,8,f,953328,None,22.52
Simple8B,225124,772.62,ucr,1949.05,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,1,0,8,f,953328,None,23.61
SIMDBP128,1475084,3435.63,ucr,3602.29,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,1,0,8,f,5731820,None,25.74
FastPFOR,1460604,764.75,ucr,3206.2,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,1,0,8,f,5731820,None,25.48
Simple8B,1447680,1336.51,ucr,2307.68,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,1,0,8,f,5731820,None,25.26
SIMDBP128,3144944,3889.05,ucr,3886.9,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,1,0,8,f,11370280,None,27.66
FastPFOR,3183564,1238.04,ucr,3220.39,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,1,0,8,f,11370280,None,28.0
Simple8B,3143496,1633.89,ucr,2872.39,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,1,0,8,f,11370280,None,27.65
SIMDBP128,140312,2428.14,ucr,2729.57,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,1,0,8,f,498556,None,28.14
FastPFOR,140404,639.1,ucr,1764.2,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,1,0,8,f,498556,None,28.16
Simple8B,146060,776.15,ucr,1610.3,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,1,0,8,f,498556,None,29.3
SIMDBP128,1583788,4559.69,ucr,4839.53,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_X.dat,1,0,8,f,5731820,None,27.63
FastPFOR,1602332,1276.9,ucr,3215.53,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_X.dat,1,0,8,f,5731820,None,27.96
Simple8B,1555776,1295.44,ucr,2253.09,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_X.dat,1,0,8,f,5731820,None,27.14
SIMDBP128,1599976,3629.47,ucr,4077.74,/colmajor/uint8-as-uint32/ucr/yoga.dat,1,0,8,f,5689180,None,28.12
FastPFOR,1600172,1091.04,ucr,2610.64,/colmajor/uint8-as-uint32/ucr/yoga.dat,1,0,8,f,5689180,None,28.13
Simple8B,1576400,1255.32,ucr,2153.92,/colmajor/uint8-as-uint32/ucr/yoga.dat,1,0,8,f,5689180,None,27.71
SIMDBP128,214832,2271.12,ucr,2570.52,/colmajor/uint8-as-uint32/ucr/OSULeaf.dat,1,0,8,f,763756,None,28.13
FastPFOR,214884,669.86,ucr,1607.62,/colmajor/uint8-as-uint32/ucr/OSULeaf.dat,1,0,8,f,763756,None,28.14
Simple8B,210376,707.08,ucr,1237.63,/colmajor/uint8-as-uint32/ucr/OSULeaf.dat,1,0,8,f,763756,None,27.54
SIMDBP128,34884,1402.79,ucr,2039.88,/colmajor/uint8-as-uint32/ucr/Gun_Point.dat,1,0,8,f,123980,None,28.14
FastPFOR,34868,545.36,ucr,1419.46,/colmajor/uint8-as-uint32/ucr/Gun_Point.dat,1,0,8,f,123980,None,28.12
