Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,11066488800,5003.92,msrc_split,8916.98,300 files,-1,0,16,14,f,11066488800,None,0,100.0
Zstd -1,7944320432,454.74,msrc_split,837.32,300 files,-1,0,16,14,f,11072317440,None,0,71.75
Zstd -9,7868235708,89.19,msrc_split,770.93,300 files,-1,0,16,14,f,11055895680,None,0,71.17
Snappy,8584770816,3689.47,msrc_split,6442.93,300 files,-1,0,16,14,f,11070967680,None,0,77.54
LZ4,8340861580,1999.15,msrc_split,7019.21,300 files,-1,0,16,14,f,11052596000,None,0,75.47
Zlib -1,7516377374,40.66,msrc_split,223.85,300 files,-1,0,16,14,f,11045174880,None,0,68.05
Zlib -9,7544315962,30.93,msrc_split,220.34,300 files,-1,0,16,14,f,11078787520,None,0,68.1
Huffman,8992114741,580.58,msrc_split,620.71,300 files,-1,0,16,14,f,11080026304,None,0,81.16
