Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,6351162240,4904.28,msrc_split,7423.63,300 files,-1,0,8,15,f,6351162240,None,1,100.0
Zstd -1,2530490891,204.15,msrc_split,502.42,300 files,-1,0,8,15,f,6358060960,None,1,39.8
Zstd -9,2150255440,33.56,msrc_split,518.57,300 files,-1,0,8,15,f,6345598752,None,1,33.89
Snappy,2901397862,392.03,msrc_split,823.45,300 files,-1,0,8,15,f,6350653728,None,1,45.69
LZ4,2996782285,467.2,msrc_split,1266.8,300 files,-1,0,8,15,f,6341920800,None,1,47.25
Zlib -1,2308484815,72.51,msrc_split,217.27,300 files,-1,0,8,15,f,6351878880,None,1,36.34
Zlib -9,2109867247,10.24,msrc_split,222.64,300 files,-1,0,8,15,f,6355438464,None,1,33.2
Huffman,4611072725,572.31,msrc_split,618.68,300 files,-1,0,8,15,f,6326663008,None,1,72.88
