Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,257871904,3547.51,msrc_split,259.65,300 files,-1,0,8,3,c,257871904,None,2,100.0
SprintzDelta -80,72803704,625.87,msrc_split,3055.28,300 files,-1,0,8,3,c,254841376,None,2,28.57
SprintzXff -80,73639688,372.22,msrc_split,2471.34,300 files,-1,0,8,3,c,254595840,None,2,28.92
SprintzDelta_Huf -80,59991440,430.08,msrc_split,252.23,300 files,-1,0,8,3,c,250902944,None,2,23.91
SprintzXff_Huf -80,61243844,291.73,msrc_split,248.43,300 files,-1,0,8,3,c,251534912,None,2,24.35
