Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,6351162240,3944.16,msrc_split,1173.24,300 files,-1,0,8,15,c,6351162240,None,1,100.0
SprintzDelta -80,1814048456,552.0,msrc_split,4386.02,300 files,-1,0,8,15,c,6358060960,None,1,28.53
SprintzXff -80,1835930660,349.3,msrc_split,3222.34,300 files,-1,0,8,15,c,6345598752,None,1,28.93
SprintzDelta_Huf -80,1508701292,430.64,msrc_split,615.7,300 files,-1,0,8,15,c,6329331424,None,1,23.84
SprintzXff_Huf -80,1548399348,289.8,msrc_split,585.67,300 files,-1,0,8,15,c,6353322944,None,1,24.37
