Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,913232480,4180.39,msrc_split,1869.25,300 files,-1,0,16,4,c,913232480,None,1,100.0
SprintzDelta_16b -80,451862144,802.84,msrc_split,4732.0,300 files,-1,0,16,4,c,903199680,None,1,50.03
SprintzXff_16b -80,453049720,597.08,msrc_split,3943.34,300 files,-1,0,16,4,c,907625760,None,1,49.92
SprintzDelta_Huf_16b -80,443587968,461.15,msrc_split,632.61,300 files,-1,0,16,4,c,905682240,None,1,48.98
SprintzXff_Huf_16b -80,439849271,374.99,msrc_split,610.47,300 files,-1,0,16,4,c,898275040,None,1,48.97
