Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,112846400,5055.3,msrc_split,6059.53,300 files,-1,0,16,1,f,112846400,None,2,100.0
SIMDBP128,39572896,6902.04,msrc_split,7908.89,300 files,-1,0,16,1,f,114762240,None,2,34.48
Simple8B,42046016,2247.08,msrc_split,4880.29,300 files,-1,0,16,1,f,111552320,None,2,37.69
