Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,1812052800,3556.03,msrc_split,9820.12,300 files,-1,0,8,8,c,1812052800,None,0,100.0
SprintzDelta -80,515716192,455.59,msrc_split,3871.48,300 files,-1,0,8,8,c,1807131648,None,0,28.54
SprintzXff -80,520505072,372.35,msrc_split,3261.93,300 files,-1,0,8,8,c,1801373216,None,0,28.89
SprintzDelta_Huf -80,429408840,429.95,msrc_split,1166.59,300 files,-1,0,8,8,c,1801188800,None,0,23.84
SprintzXff_Huf -80,440182317,288.8,msrc_split,1064.72,300 files,-1,0,8,8,c,1806167456,None,0,24.37
