Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,9546288640,4020.3,msrc_split,943.6,300 files,-1,0,16,13,c,9546288640,None,2,100.0
SprintzDelta_16b -80,4772622976,831.44,msrc_split,3497.0,300 files,-1,0,16,13,c,9546446240,None,2,49.99
SprintzXff_16b -80,4762451224,602.34,msrc_split,2905.88,300 files,-1,0,16,13,c,9540139520,None,2,49.92
SprintzDelta_Huf_16b -80,4655048140,461.5,msrc_split,475.22,300 files,-1,0,16,13,c,9514794240,None,2,48.92
SprintzXff_Huf_16b -80,4662077888,367.58,msrc_split,463.6,300 files,-1,0,16,13,c,9522764640,None,2,48.96
