Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,2042539680,3953.13,msrc_split,1601.89,300 files,-1,0,16,6,c,2042539680,None,1,100.0
SprintzDelta_16b -80,1018345456,827.07,msrc_split,4454.21,300 files,-1,0,16,6,c,2036439040,None,1,50.01
SprintzXff_16b -80,1012805480,569.13,msrc_split,3590.13,300 files,-1,0,16,6,c,2029123040,None,1,49.91
SprintzDelta_Huf_16b -80,993123813,424.91,msrc_split,594.31,300 files,-1,0,16,6,c,2028704480,None,1,48.95
SprintzXff_Huf_16b -80,992430523,355.5,msrc_split,528.38,300 files,-1,0,16,6,c,2028304640,None,1,48.93
