Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,1420404320,4822.49,msrc_split,5058.84,300 files,-1,0,16,5,f,1420404320,None,0,100.0
Zstd -1,1016072425,410.03,msrc_split,753.25,300 files,-1,0,16,5,f,1414977440,None,0,71.81
Zstd -9,1005375443,77.36,msrc_split,699.1,300 files,-1,0,16,5,f,1412477920,None,0,71.18
Snappy,1095236056,3442.61,msrc_split,5649.06,300 files,-1,0,16,5,f,1412327680,None,0,77.55
LZ4,1062516845,1984.12,msrc_split,5022.95,300 files,-1,0,16,5,f,1407940960,None,0,75.47
Zlib -1,960280432,36.28,msrc_split,200.28,300 files,-1,0,16,5,f,1410355040,None,0,68.09
Zlib -9,954349525,27.09,msrc_split,191.85,300 files,-1,0,16,5,f,1402237920,None,0,68.06
Huffman,1144275955,532.99,msrc_split,564.84,300 files,-1,0,16,5,f,1410035776,None,0,81.15
