Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,11066488800,4026.59,msrc_split,886.88,300 files,-1,0,16,14,c,11066488800,None,2,100.0
SprintzDelta_16b -80,5535615360,843.43,msrc_split,2893.61,300 files,-1,0,16,14,c,11072317440,None,2,50.0
SprintzXff_16b -80,5521558464,494.36,msrc_split,2594.36,300 files,-1,0,16,14,c,11055895680,None,2,49.94
SprintzDelta_Huf_16b -80,5399587838,460.12,msrc_split,443.69,300 files,-1,0,16,14,c,11036048480,None,2,48.93
SprintzXff_Huf_16b -80,5408453800,373.35,msrc_split,418.27,300 files,-1,0,16,14,c,11046624960,None,2,48.96
