Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,257871904,4978.56,msrc_split,13243.26,300 files,-1,0,8,3,f,257871904,None,0,100.0
Zstd -1,101885504,208.02,msrc_split,569.25,300 files,-1,0,8,3,f,254841376,None,0,39.98
Zstd -9,86236022,36.57,msrc_split,590.8,300 files,-1,0,8,3,f,254595840,None,0,33.87
Snappy,116377793,394.47,msrc_split,947.61,300 files,-1,0,8,3,f,254046848,None,0,45.81
LZ4,120588446,480.39,msrc_split,1568.64,300 files,-1,0,8,3,f,254706080,None,0,47.34
Zlib -1,93003143,72.36,msrc_split,229.93,300 files,-1,0,8,3,f,255762336,None,0,36.36
Zlib -9,84152268,10.09,msrc_split,253.06,300 files,-1,0,8,3,f,252999872,None,0,33.26
Huffman,184097637,604.86,msrc_split,719.47,300 files,-1,0,8,3,f,251922144,None,0,73.08
