Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,515700640,3927.61,msrc_split,1374.69,300 files,-1,0,16,3,c,515700640,None,1,100.0
SprintzDelta_16b -80,254927512,606.91,msrc_split,4242.18,300 files,-1,0,16,3,c,509640000,None,1,50.02
SprintzXff_16b -80,254254360,601.48,msrc_split,3873.38,300 files,-1,0,16,3,c,509149120,None,1,49.94
SprintzDelta_Huf_16b -80,250170849,461.82,msrc_split,634.5,300 files,-1,0,16,3,c,511067520,None,1,48.95
SprintzXff_Huf_16b -80,250095417,375.3,msrc_split,610.64,300 files,-1,0,16,3,c,510832640,None,1,48.96
