Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,3623797600,2581.06,msrc_split,6216.3,300 files,-1,0,16,8,c,3623797600,None,0,100.0
SprintzDelta_16b -80,1807045424,704.95,msrc_split,3997.19,300 files,-1,0,16,8,c,3613953600,None,0,50.0
SprintzXff_16b -80,1797850632,370.84,msrc_split,3269.14,300 files,-1,0,16,8,c,3602443200,None,0,49.91
SprintzDelta_Huf_16b -80,1765941928,412.82,msrc_split,822.57,300 files,-1,0,16,8,c,3608131360,None,0,48.94
SprintzXff_Huf_16b -80,1764413737,374.93,msrc_split,764.43,300 files,-1,0,16,8,c,3606505440,None,0,48.92
