Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,515700640,4872.22,msrc_split,6305.81,300 files,-1,0,16,3,f,515700640,None,2,100.0
Zstd -1,365998861,319.63,msrc_split,685.0,300 files,-1,0,16,3,f,509640000,None,2,71.82
Zstd -9,362613550,75.3,msrc_split,695.88,300 files,-1,0,16,3,f,509149120,None,2,71.22
Snappy,393953695,3687.19,msrc_split,4288.78,300 files,-1,0,16,3,f,508049920,None,2,77.54
LZ4,384395934,1874.28,msrc_split,5838.02,300 files,-1,0,16,3,f,509368480,None,2,75.47
Zlib -1,348038778,36.81,msrc_split,210.6,300 files,-1,0,16,3,f,511479840,None,2,68.05
Zlib -9,344839932,27.69,msrc_split,204.56,300 files,-1,0,16,3,f,505956640,None,2,68.16
Huffman,412389190,584.63,msrc_split,591.99,300 files,-1,0,16,3,f,507970688,None,2,81.18
