Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,2779418720,4973.32,msrc_split,8824.17,300 files,-1,0,16,7,f,2779418720,None,0,100.0
Zstd -1,1985858277,440.82,msrc_split,775.17,300 files,-1,0,16,7,f,2767364000,None,0,71.76
Zstd -9,1968061366,78.16,msrc_split,683.76,300 files,-1,0,16,7,f,2764850560,None,0,71.18
Snappy,2136224442,3714.82,msrc_split,5174.57,300 files,-1,0,16,7,f,2754855520,None,0,77.54
LZ4,2088319148,2007.01,msrc_split,6282.83,300 files,-1,0,16,7,f,2767243520,None,0,75.47
Zlib -1,1888905719,37.52,msrc_split,230.25,300 files,-1,0,16,7,f,2776661440,None,0,68.03
Zlib -9,1887190188,30.71,msrc_split,220.6,300 files,-1,0,16,7,f,2770346880,None,0,68.12
Huffman,2242353569,588.57,msrc_split,660.77,300 files,-1,0,16,7,f,2763761568,None,0,81.13
