Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,3623797600,4866.01,msrc_split,8109.1,300 files,-1,0,16,8,f,3623797600,None,0,100.0
Zstd -1,2593749092,416.59,msrc_split,724.58,300 files,-1,0,16,8,f,3613953600,None,0,71.77
Zstd -9,2563031894,78.06,msrc_split,692.94,300 files,-1,0,16,8,f,3602443200,None,0,71.15
Snappy,2803239861,3712.28,msrc_split,6412.83,300 files,-1,0,16,8,f,3614926880,None,0,77.55
LZ4,2728469357,1838.76,msrc_split,6238.17,300 files,-1,0,16,8,f,3615492800,None,0,75.47
Zlib -1,2460409692,36.35,msrc_split,209.57,300 files,-1,0,16,8,f,3616556160,None,0,68.03
Zlib -9,2463969340,27.72,msrc_split,203.77,300 files,-1,0,16,8,f,3616848480,None,0,68.12
Huffman,2925445521,602.81,msrc_split,600.51,300 files,-1,0,16,8,f,3604394208,None,0,81.16
