Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,225722880,4967.6,msrc_split,8453.19,300 files,-1,0,16,2,f,225722880,None,0,100.0
Zstd -1,167386728,433.51,msrc_split,592.74,300 files,-1,0,16,2,f,233507200,None,0,71.68
Zstd -9,161574896,77.48,msrc_split,653.42,300 files,-1,0,16,2,f,227311360,None,0,71.08
Snappy,175780347,3679.11,msrc_split,5909.68,300 files,-1,0,16,2,f,226691040,None,0,77.54
LZ4,169327938,1908.88,msrc_split,6994.04,300 files,-1,0,16,2,f,224375680,None,0,75.47
Zlib -1,153900920,38.03,msrc_split,208.66,300 files,-1,0,16,2,f,226164000,None,0,68.05
Zlib -9,154342277,27.35,msrc_split,203.5,300 files,-1,0,16,2,f,225991840,None,0,68.3
Huffman,185242752,584.77,msrc_split,647.46,300 files,-1,0,16,2,f,227945024,None,0,81.27
