Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,11066488800,5010.91,msrc_split,7090.83,300 files,-1,0,16,14,f,11066488800,None,2,100.0
Zstd -1,7944320432,457.36,msrc_split,804.52,300 files,-1,0,16,14,f,11072317440,None,2,71.75
Zstd -9,7868235708,86.6,msrc_split,721.11,300 files,-1,0,16,14,f,11055895680,None,2,71.17
Snappy,8584770816,3674.55,msrc_split,5481.91,300 files,-1,0,16,14,f,11070967680,None,2,77.54
LZ4,8340861580,1987.01,msrc_split,5902.5,300 files,-1,0,16,14,f,11052596000,None,2,75.47
Zlib -1,7516377374,41.17,msrc_split,224.24,300 files,-1,0,16,14,f,11045174880,None,2,68.05
Zlib -9,7544315962,28.31,msrc_split,207.04,300 files,-1,0,16,14,f,11078787520,None,2,68.1
Huffman,8992114741,601.47,msrc_split,611.13,300 files,-1,0,16,14,f,11080026304,None,2,81.16
