Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
FastPFOR,227808,1803.94,ucr,8130.75,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,-1,0,8,f,903700,None,25.21
Simple8B,239164,1666.12,ucr,5356.4,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,-1,0,8,f,903700,None,26.46
SIMDBP128,142496,12211.92,ucr,9998.13,/colmajor/uint8-as-uint32/ucr/Adiac.dat,-1,0,8,f,565424,None,25.2
FastPFOR,142536,1888.81,ucr,14690.15,/colmajor/uint8-as-uint32/ucr/Adiac.dat,-1,0,8,f,565424,None,25.21
Simple8B,145580,2104.29,ucr,4744.56,/colmajor/uint8-as-uint32/ucr/Adiac.dat,-1,0,8,f,565424,None,25.75
SIMDBP128,539172,7852.4,ucr,8443.55,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,-1,0,8,f,2296780,None,23.48
FastPFOR,518628,1161.31,ucr,6818.65,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,-1,0,8,f,2296780,None,22.58
Simple8B,458268,2323.85,ucr,3846.19,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,-1,0,8,f,2296780,None,19.95
SIMDBP128,222348,5649.28,ucr,6406.95,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,-1,0,8,f,953328,None,23.32
FastPFOR,188292,498.23,ucr,3723.69,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,-1,0,8,f,953328,None,19.75
Simple8B,218196,915.55,ucr,2598.35,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,-1,0,8,f,953328,None,22.89
SIMDBP128,1307180,9748.21,ucr,6871.9,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,-1,0,8,f,5731820,None,22.81
FastPFOR,1306584,1465.0,ucr,10740.89,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,-1,0,8,f,5731820,None,22.8
Simple8B,1409108,2950.17,ucr,6733.01,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,-1,0,8,f,5731820,None,24.58
SIMDBP128,2811840,8199.35,ucr,9304.83,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,-1,0,8,f,11370280,None,24.73
FastPFOR,2855432,1968.73,ucr,10708.86,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,-1,0,8,f,11370280,None,25.11
Simple8B,3058884,2572.52,ucr,5391.61,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,-1,0,8,f,11370280,None,26.9
SIMDBP128,125720,8169.7,ucr,7908.44,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,-1,0,8,f,498556,None,25.22
FastPFOR,125864,1319.33,ucr,9386.53,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,-1,0,8,f,498556,None,25.25
