Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Zlib -1,77011,178.68,ucr,383.8,/colmajor/uint16/ucr/SmallKitchenAppliances.dat,-1,0,16,f,1087490,DoubleDelta,7.08
Zlib -9,59381,16.73,ucr,442.4,/colmajor/uint16/ucr/SmallKitchenAppliances.dat,-1,0,16,f,1087490,DoubleDelta,5.46
Zstd -1,534312,148.07,ucr,262.69,/colmajor/uint16/ucr/FaceAll.dat,-1,0,16,f,611990,DoubleDelta,87.31
Zstd -9,533570,32.79,ucr,379.27,/colmajor/uint16/ucr/FaceAll.dat,-1,0,16,f,611990,DoubleDelta,87.19
Zlib -1,544743,30.1,ucr,174.73,/colmajor/uint16/ucr/FaceAll.dat,-1,0,16,f,611990,DoubleDelta,89.01
Zlib -9,536322,26.95,ucr,183.25,/colmajor/uint16/ucr/FaceAll.dat,-1,0,16,f,611990,DoubleDelta,87.64
Zstd -1,75361,256.28,ucr,384.5,/colmajor/uint16/ucr/Meat.dat,-1,0,16,f,108710,DoubleDelta,69.32
Zstd -9,72928,21.48,ucr,241.11,/colmajor/uint16/ucr/Meat.dat,-1,0,16,f,108710,DoubleDelta,67.08
Zlib -1,76875,34.84,ucr,122.31,/colmajor/uint16/ucr/Meat.dat,-1,0,16,f,108710,DoubleDelta,70.72
Zlib -9,76007,12.62,ucr,118.76,/colmajor/uint16/ucr/Meat.dat,-1,0,16,f,108710,DoubleDelta,69.92
Zstd -1,4144681,242.67,ucr,295.65,/colmajor/uint16/ucr/FordA.dat,-1,0,16,f,4970200,DoubleDelta,83.39
Zstd -9,4031761,14.8,ucr,299.05,/colmajor/uint16/ucr/FordA.dat,-1,0,16,f,4970200,DoubleDelta,81.12
Zlib -1,4162232,37.51,ucr,180.0,/colmajor/uint16/ucr/FordA.dat,-1,0,16,f,4970200,DoubleDelta,83.74
